filename,celebname,class
arin031.jpg,arin,0
arin038.jpg,arin,0
arin047.jpg,arin,0
arin051.jpg,arin,0
arin055.jpg,arin,0
arin062.jpg,arin,0
arin093.jpg,arin,0
arin113.jpg,arin,0
arin116.jpg,arin,0
arin118.jpg,arin,0
arin154.jpg,arin,0
arin162.jpg,arin,0
arin169.jpg,arin,0
arin175.jpg,arin,0
arin179.jpg,arin,0
arin185.jpg,arin,0
arin189.jpg,arin,0
arin199.jpg,arin,0
arin200.jpg,arin,0
arin221.jpg,arin,0
chaewon022.jpg,chaewon,1
chaewon042.jpg,chaewon,1
chaewon045.jpg,chaewon,1
chaewon047.jpg,chaewon,1
chaewon062.jpg,chaewon,1
chaewon067.jpg,chaewon,1
chaewon076.jpg,chaewon,1
chaewon079.jpg,chaewon,1
chaewon093.jpg,chaewon,1
chaewon103.jpg,chaewon,1
chaewon107.jpg,chaewon,1
chaewon114.jpg,chaewon,1
chaewon115.jpg,chaewon,1
chaewon137.jpg,chaewon,1
chaewon158.jpg,chaewon,1
chaewon169.jpg,chaewon,1
chaewon183.jpg,chaewon,1
chaewon199.jpg,chaewon,1
chaewon202.jpg,chaewon,1
chaewon229.jpg,chaewon,1
chaeyeon003.jpg,chaeyeon,2
chaeyeon022.jpg,chaeyeon,2
chaeyeon031.jpg,chaeyeon,2
chaeyeon032.jpg,chaeyeon,2
chaeyeon063.jpg,chaeyeon,2
chaeyeon069.jpg,chaeyeon,2
chaeyeon089.jpg,chaeyeon,2
chaeyeon102.jpg,chaeyeon,2
chaeyeon106.jpg,chaeyeon,2
chaeyeon121.jpg,chaeyeon,2
chaeyeon128.jpg,chaeyeon,2
chaeyeon130.jpg,chaeyeon,2
chaeyeon133.jpg,chaeyeon,2
chaeyeon147.jpg,chaeyeon,2
chaeyeon152.jpg,chaeyeon,2
chaeyeon155.jpg,chaeyeon,2
chaeyeon178.jpg,chaeyeon,2
chaeyeon204.jpg,chaeyeon,2
chaeyeon210.jpg,chaeyeon,2
chaeyeon215.jpg,chaeyeon,2
chaeyoung005.jpg,chaeyoung,3
chaeyoung013.jpg,chaeyoung,3
chaeyoung015.jpg,chaeyoung,3
chaeyoung043.jpg,chaeyoung,3
chaeyoung061.jpg,chaeyoung,3
chaeyoung066.jpg,chaeyoung,3
chaeyoung079.jpg,chaeyoung,3
chaeyoung103.jpg,chaeyoung,3
chaeyoung104.jpg,chaeyoung,3
chaeyoung121.jpg,chaeyoung,3
chaeyoung123.jpg,chaeyoung,3
chaeyoung127.jpg,chaeyoung,3
chaeyoung136.jpg,chaeyoung,3
chaeyoung137.jpg,chaeyoung,3
